Source,Target,Color,Link Color,Value,"Node, Label",
0,2,#00c0f5,#00c0f5,41163,Ukraine,
0,3,#fc3c8c,#00c0f5,99619,Russia,
0,4,#fbdce8,#00c0f5,138512,Saudi Arabia,
0,5,#45b6cc,#00c0f5,13548,United Kingdom,
0,6,#97cfc1,#00c0f5,381990,France,
0,7,#f8aca4,#00c0f5,429072,Egypt,
0,8,#3c7c7c,#00c0f5,16524,Italy,
0,9,#009bb7,#00c0f5,612837,Spain,
0,10,#fba4c0,#00c0f5,865720,Turkey,
0,11,#04aee8,#00c0f5,2065808,Netherlands,
1,2,#9cccd4,#fc3c8c,59298,China,
1,3,#4cb7b3,#fc3c8c,2991,India,
1,4,,#fc3c8c,1595,,
1,5,,#fc3c8c,250874,,
1,6,,#fc3c8c,4248,,
1,7,,#fc3c8c,478,,
1,8,,#fc3c8c,474674,,
1,9,,#fc3c8c,484,,
1,10,,#fc3c8c,317224,,
1,11,,#fc3c8c,207806,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
